Year,Event 1,Event 2,Event 3,Event 4,Event 5,pid,age,gender,education,highest qualification,employment,wages,hours worked,wage per hour,relationship,is in serps,foster status,years fostered,years in education,years in work this spell,years unemployed this spell,years in work total,years unemployed total,Childrens Services: Expenditure,Local Authority: Expenditure,Welsh Government: Expenditure,Uk Government: Expenditure,Childrens Services: Receipts,Local Authority: Receipts,Welsh Government: Receipts,Uk Government: Receipts,income tax,national insurance,employers ni,tax credits,child benefit,education allowances,foster care payments,student grants,student loans,total taxable income,net income,total student loans,outstanding student loans,assigned admin costs,childs contributions,student accommodation costs,vat
 2011,,,,,, 2002, 17,Female,School,No Qualification,In Education,        0.00,0,        0.00,Child,False,Currently Fostered,       13.00,        1.00,        0.00,        0.00,        0.00,        0.00,    26644.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17804.00,        0.00,        0.00,        0.00
 2012,,,,,, 2002, 18,Female,School,No Qualification,In Education,        0.00,0,        0.00,Child,False,Currently Fostered,       14.00,        2.00,        0.00,        0.00,        0.00,        0.00,    26644.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17804.00,        0.00,        0.00,        0.00
 2013,Completes A Levels,Leave School,Start Higher Education,,, 2002, 19,Female,Higher Education,A Level,In Education,        0.00,0,        0.00,Child,False,Currently Fostered,       15.00,        3.00,        0.00,        0.00,        0.00,        0.00,    18348.00,        0.00,    14517.00,        0.00,     5200.00,        0.00,        0.00,     1274.75,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6159.00,     8358.00,        0.00,     9317.00,     8358.00,     8358.00,     7948.00,     5200.00,        0.00,     1274.75
 2014,,,,,, 2002, 20,Female,Higher Education,A Level,In Education,        0.00,0,        0.00,Child,False,Currently Fostered,       16.00,        4.00,        0.00,        0.00,        0.00,        0.00,    17532.00,        0.00,    14517.00,        0.00,     5200.00,        0.00,        0.00,     1274.75,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6159.00,     8358.00,        0.00,     9317.00,    16716.00,    16716.00,     7132.00,     5200.00,        0.00,     1274.75
 2015,Leave Fostering,,,,, 2002, 21,Female,Higher Education,A Level,In Education,        0.00,0,        0.00,Other Relationship,False,Previously Fostered,       16.00,        5.00,        0.00,        0.00,        0.00,        0.00,      775.00,        0.00,    14517.00,        0.00,        0.00,        0.00,        0.00,     2058.57,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6159.00,     8358.00,        0.00,    14517.00,    25074.00,    25074.00,      775.00,        0.00,        0.00,     2058.57
 2016,Graduates,End Higher Education,Start Work,,, 2002, 22,Female,Not In Education,Degree,Full Time,    14017.72,1786,        7.85,Other Relationship,False,Previously Fostered,       16.00,        5.00,        1.00,        0.00,        1.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4029.98,      915.54,      663.85,      651.32,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    14017.72,    12438.33,    25074.00,    25074.00,        0.00,        0.00,        0.00,     1799.27
 2017,,,,,, 2002, 23,Female,Not In Education,Degree,Full Time,    14962.68,1786,        8.38,Other Relationship,False,Previously Fostered,       16.00,        5.00,        2.00,        0.00,        2.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     4519.84,     1104.54,      764.01,      749.60,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    14962.68,    13094.13,    25074.00,    25074.00,        0.00,        0.00,        0.00,     1901.69
 2018,,,,,, 2002, 24,Female,Not In Education,Degree,Full Time,    15930.64,1786,        8.92,Other Relationship,False,Previously Fostered,       16.00,        5.00,        3.00,        0.00,        3.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5022.01,     1298.13,      866.62,      850.27,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    15930.64,    13765.89,    25074.00,    25074.00,        0.00,        0.00,        0.00,     2007.00
 2019,,,,,, 2002, 25,Female,Not In Education,Degree,Full Time,    16918.00,1786,        9.47,Other Relationship,False,Previously Fostered,       16.00,        5.00,        4.00,        0.00,        4.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     5534.62,     1495.60,      971.28,      952.95,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    16918.00,    14451.12,    25074.00,    25074.00,        0.00,        0.00,        0.00,     2114.79
 2020,,,,,, 2002, 26,Female,Not In Education,Degree,Full Time,    17920.79,1786,       10.03,Other Relationship,False,Previously Fostered,       16.00,        5.00,        5.00,        0.00,        5.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6055.61,     1696.16,     1077.57,     1057.24,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17920.79,    15147.06,    25074.00,    25074.00,        0.00,        0.00,        0.00,     2224.64
