Year,Event 1,Event 2,Event 3,Event 4,Event 5,pid,age,gender,education,highest qualification,employment,wages,hours worked,wage per hour,relationship,is in serps,foster status,years fostered,years in education,years in work this spell,years unemployed this spell,years in work total,years unemployed total,Childrens Services: Expenditure,Local Authority: Expenditure,Welsh Government: Expenditure,Uk Government: Expenditure,Childrens Services: Receipts,Local Authority: Receipts,Welsh Government: Receipts,Uk Government: Receipts,income tax,national insurance,employers ni,tax credits,child benefit,education allowances,foster care payments,student grants,student loans,total taxable income,net income,total student loans,outstanding student loans,assigned admin costs,childs contributions,student accommodation costs,vat
 2011,,,,,, 2002, 17,Male,School,No Qualification,In Education,        0.00,0,        0.00,Child,False,Currently Fostered,       10.00,        1.00,        0.00,        0.00,        0.00,        0.00,    26644.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17804.00,        0.00,        0.00,        0.00
 2012,,,,,, 2002, 18,Male,School,No Qualification,In Education,        0.00,0,        0.00,Child,False,Currently Fostered,       11.00,        2.00,        0.00,        0.00,        0.00,        0.00,    26644.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,    17804.00,        0.00,        0.00,        0.00
 2013,Leave School,Leave Fostering,Leave Household,,, 2002, 19,Male,Not In Education,No Qualification,Unemployed,        0.00,0,        0.00,Head,False,Previously Fostered,       11.00,        2.00,        0.00,        1.00,        0.00,        1.00,      775.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,      837.49,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,      775.00,        0.00,        0.00,      837.49
 2014,Ongoing support from leaving care personal adviser,Teaching Support,,,, 2002, 20,Male,Not In Education,No Qualification,Unemployed,        0.00,0,        0.00,Head,False,Previously Fostered,       11.00,        2.00,        0.00,        2.00,        0.00,        2.00,     4865.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,      837.49,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,        0.00,        0.00,      837.49
 2015,Ongoing support from leaving care personal adviser,,,,, 2002, 21,Male,Not In Education,No Qualification,Unemployed,        0.00,0,        0.00,Head,False,Previously Fostered,       11.00,        2.00,        0.00,        3.00,        0.00,        3.00,     4865.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,      837.49,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,        0.00,        0.00,      837.49
 2016,,,,,, 2002, 22,Male,Not In Education,No Qualification,Unemployed,        0.00,0,        0.00,Head,False,Previously Fostered,       11.00,        2.00,        0.00,        4.00,        0.00,        4.00,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,      837.49,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,        0.00,        0.00,      837.49
 2017,,,,,, 2002, 23,Male,Not In Education,No Qualification,Unemployed,        0.00,0,        0.00,Head,False,Previously Fostered,       11.00,        2.00,        0.00,        5.00,        0.00,        5.00,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,      837.49,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,        0.00,        0.00,      837.49
 2018,Leave Work,,,,, 2002, 24,Male,Not In Education,No Qualification,Unemployed,        0.00,0,        0.00,Head,False,Previously Fostered,       11.00,        2.00,        0.00,        1.00,        0.00,        6.00,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,      837.49,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     6322.48,        0.00,        0.00,        0.00,        0.00,        0.00,      837.49
 2019,Start Work,,,,, 2002, 25,Male,Not In Education,No Qualification,Full Time,    12382.80,1786,        6.93,Head,False,Previously Fostered,       11.00,        2.00,        1.00,        0.00,        1.00,        6.00,        0.00,        0.00,        0.00,      617.76,        0.00,        0.00,        0.00,     3279.21,      588.56,      490.55,      481.29,      617.76,        0.00,        0.00,        0.00,        0.00,        0.00,    12382.80,    11921.45,        0.00,        0.00,        0.00,        0.00,        0.00,     1718.81
 2020,,,,,, 2002, 26,Male,Not In Education,No Qualification,Full Time,    12616.40,1786,        7.06,Head,False,Previously Fostered,       11.00,        2.00,        2.00,        0.00,        2.00,        6.00,        0.00,        0.00,        0.00,      512.38,        0.00,        0.00,        0.00,     3383.81,      635.28,      515.31,      505.59,      512.38,        0.00,        0.00,        0.00,        0.00,        0.00,    12616.40,    11978.19,        0.00,        0.00,        0.00,        0.00,        0.00,     1727.63
 2021,,,,,, 2002, 27,Male,Not In Education,No Qualification,Full Time,    12845.46,1786,        7.19,Head,False,Previously Fostered,       11.00,        2.00,        3.00,        0.00,        3.00,        6.00,        0.00,        0.00,        0.00,      409.05,        0.00,        0.00,        0.00,     3486.37,      681.09,      539.59,      529.41,      409.05,        0.00,        0.00,        0.00,        0.00,        0.00,    12845.46,    12033.83,        0.00,        0.00,        0.00,        0.00,        0.00,     1736.28
 2022,Leave Work,,,,, 2002, 28,Male,Not In Education,No Qualification,Unemployed,        0.00,0,        0.00,Head,False,Previously Fostered,       11.00,        2.00,        3.00,        1.00,        3.00,        7.00,        0.00,        0.00,        0.00,     7099.36,        0.00,        0.00,        0.00,      949.65,        0.00,        0.00,        0.00,     7099.36,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,     7099.36,        0.00,        0.00,        0.00,        0.00,        0.00,      949.65
 2023,Start Work,,,,, 2002, 29,Male,Not In Education,No Qualification,Full Time,    13242.93,1786,        7.41,Head,False,Previously Fostered,       11.00,        2.00,        1.00,        0.00,        4.00,        7.00,        0.00,        0.00,        0.00,      229.76,        0.00,        0.00,        0.00,     3664.35,      760.59,      581.72,      570.74,      229.76,        0.00,        0.00,        0.00,        0.00,        0.00,    13242.93,    12130.38,        0.00,        0.00,        0.00,        0.00,        0.00,     1751.30
 2024,,,,,, 2002, 30,Male,Not In Education,No Qualification,Full Time,    13455.24,1786,        7.53,Head,False,Previously Fostered,       11.00,        2.00,        2.00,        0.00,        5.00,        7.00,        0.00,        0.00,        0.00,      133.98,        0.00,        0.00,        0.00,     3759.43,      803.05,      604.22,      592.82,      133.98,        0.00,        0.00,        0.00,        0.00,        0.00,    13455.24,    12181.95,        0.00,        0.00,        0.00,        0.00,        0.00,     1759.33
